text	lemma	ending	clitic	partofspeech	form	prob	freq
ühes	üks	s		N	sg in	0.2368	9
nimetatud	nimetatud	0		A		0.8333	30
nimetatud	nimetama	tud		V	tud	0.1389	5
nimetatud	nimetatud	0		A	sg n	0.0278	1
nimetatud	nimetatud	d		A	pl n	0.0	0
pidanud	pidama	nud		V	nud	0.9167	33
pidanud	pidanud	0		A		0.0833	3
pidanud	pidanud	0		A	sg n	0.0	0
pidanud	pidanud	d		A	pl n	0.0	0
leitud	leidma	tud		V	tud	0.6389	23
leitud	leitud	0		A		0.3611	13
leitud	leitud	d		A	pl n	0.0	0
leitud	leitud	0		A	sg n	0.0	0
leidnud	leidma	nud		V	nud	0.9444	34
leidnud	leidnud	0		A		0.0556	2
leidnud	leidnud	0		A	sg n	0.0	0
leidnud	leidnud	d		A	pl n	0.0	0
esitatud	esitatud	0		A		0.5833	21
esitatud	esitama	tud		V	tud	0.4167	15
esitatud	esitatud	d		A	pl n	0.0	0
esitatud	esitatud	0		A	sg n	0.0	0
ilmunud	ilmunud	0		A		0.7143	25
ilmunud	ilmuma	nud		V	nud	0.2857	10
ilmunud	ilmunud	d		A	pl n	0.0	0
ilmunud	ilmunud	0		A	sg n	0.0	0
kellele	kes	le		P	sg all	0.8	28
kellele	kes	le		P	pl all	0.2	7
tekkinud	tekkima	nud		V	nud	0.5429	19
tekkinud	tekkinud	0		A		0.4571	16
tekkinud	tekkinud	d		A	pl n	0.0	0
tekkinud	tekkinud	0		A	sg n	0.0	0
savisaar	Savisaar	0		H	sg n	1.0	34
käinud	käima	nud		V	nud	0.8235	28
käinud	käinud	0		A		0.1765	6
käinud	käinud	d		A	pl n	0.0	0
käinud	käinud	0		A	sg n	0.0	0
teisi	teine	0		P	pl p	1.0	34
teisi	teine	0		O	pl p	0.0	0
saksa	Saksa	0		H	sg g	1.0	33
saksa	Saks	0		H	sg g	0.0	0
kirjeldatud	kirjeldama	tud		V	tud	0.7879	26
kirjeldatud	kirjeldatud	0		A		0.2121	7
kirjeldatud	kirjeldatud	d		A	pl n	0.0	0
kirjeldatud	kirjeldatud	0		A	sg n	0.0	0
lõi	lööma	i		V	s	0.7576	25
lõi	looma	i		V	s	0.2424	8
üht	üks	0		P	sg p	0.6667	22
üht	üks	0		N	sg p	0.3333	11
saadud	saadud	0		A		0.7576	25
saadud	saama	dud		V	tud	0.2424	8
saadud	saadud	0		A	sg n	0.0	0
saadud	saadud	d		A	pl n	0.0	0
justkui	justkui	0		J		0.7879	26
justkui	justkui	0		D		0.2121	7
teistele	teine	tele		P	pl all	1.0	32
teistele	teine	tele		O	pl all	0.0	0
ühest	üks	st		P	sg el	0.75	24
ühest	üks	st		N	sg el	0.25	8
aluseks	alus	ks		S	sg tr	1.0	32
aluseks	alune	ks		S	sg tr	0.0	0
avatud	avatud	0		A		0.8065	25
avatud	avama	tud		V	tud	0.1935	6
avatud	avatud	d		A	pl n	0.0	0
avatud	avatud	0		A	sg n	0.0	0
vähenenud	vähenema	nud		V	nud	0.9677	30
vähenenud	vähenenud	0		A		0.0323	1
vähenenud	vähenenud	d		A	pl n	0.0	0
vähenenud	vähenenud	0		A	sg n	0.0	0
millel	mis	l		P	sg ad	0.7097	22
millel	mis	l		P	pl ad	0.2903	9
sündinud	sündima	nud		V	nud	0.5161	16
sündinud	sündinud	0		A		0.4839	15
sündinud	sündinud	d		A	pl n	0.0	0
sündinud	sündinud	0		A	sg n	0.0	0
tingitud	tingima	tud		V	tud	0.6333	19
tingitud	tingitud	0		A		0.3667	11
tingitud	tingitud	0		A	sg n	0.0	0
tingitud	tingitud	d		A	pl n	0.0	0
päikese	päike	0		S	sg g	0.6	18
päikese	Päike	0		H	sg g	0.4	12
päikese	Päikene	0		H	sg g	0.0	0
päikese	Päikes	0		H	sg g	0.0	0
päikese	Päikese	0		H	sg g	0.0	0
päikese	päikene	0		S	sg g	0.0	0
hansapank	Hansapank	0		H	sg n	1.0	30
valitud	valitud	0		A		0.7931	23
valitud	valima	tud		V	tud	0.2069	6
valitud	valitud	0		A	sg n	0.0	0
valitud	valitud	d		A	pl n	0.0	0
ükski	üks	0	ki	P	sg n	0.931	27
ükski	üks	0	ki	N	sg n	0.069	2
koha	koht	0		S	sg g	1.0	27
koha	koha	0		S	sg g	0.0	0
millele	mis	le		P	sg all	0.7692	20
millele	mis	le		P	pl all	0.2308	6
andnud	andma	nud		V	nud	0.9615	25
andnud	andnud	0		A		0.0385	1
andnud	andnud	d		A	pl n	0.0	0
andnud	andnud	0		A	sg n	0.0	0
ühte	üks	0		N	sg p	0.4231	11
ühte	üks	0		P	sg p	0.4231	11
ühte	üks	0		P	adt	0.1154	3
ühte	üks	0		N	adt	0.0385	1
toonud	tooma	nud		V	nud	0.8077	21
toonud	toonud	0		A		0.1923	5
toonud	toonud	d		A	pl n	0.0	0
toonud	toonud	0		A	sg n	0.0	0
arenenud	arenenud	0		A		0.8	20
arenenud	arenema	nud		V	nud	0.2	5
arenenud	arenenud	d		A	pl n	0.0	0
arenenud	arenenud	0		A	sg n	0.0	0
kellega	kes	ga		P	sg kom	0.76	19
kellega	kes	ga		P	pl kom	0.24	6
mõeldud	mõtlema	dud		V	tud	0.52	13
mõeldud	mõeldud	0		A		0.48	12
mõeldud	mõeldud	0		A	sg n	0.0	0
mõeldud	mõeldud	d		A	pl n	0.0	0
ühelt	üks	lt		P	sg abl	0.92	23
ühelt	üks	lt		N	sg abl	0.08	2
väikese	väike	0		A	sg g	1.0	25
väikese	väikene	0		A	sg g	0.0	0
teistest	teine	test		P	pl el	1.0	25
teistest	teine	test		O	pl el	0.0	0
pakutud	pakutud	0		A		0.64	16
pakutud	pakkuma	tud		V	tud	0.36	9
pakutud	pakutud	0		A	sg n	0.0	0
pakutud	pakutud	d		A	pl n	0.0	0
uuspõld	Uuspõld	0		H	sg n	1.0	24
suurenenud	suurenema	nud		V	nud	0.7083	17
suurenenud	suurenenud	0		A		0.2917	7
suurenenud	suurenenud	0		A	sg n	0.0	0
suurenenud	suurenenud	d		A	pl n	0.0	0
hakanud	hakkama	nud		V	nud	0.8333	20
hakanud	hakanud	0		A		0.1667	4
hakanud	hakanud	0		A	sg n	0.0	0
hakanud	hakanud	d		A	pl n	0.0	0
ekspressi	Ekspress	0		H	sg g	1.0	24
teistes	teine	tes		P	pl in	1.0	23
teistes	teine	tes		O	pl in	0.0	0
pannud	panema	nud		V	nud	0.8696	20
pannud	pannud	0		A		0.1304	3
pannud	pannud	d		A	pl n	0.0	0
pannud	pannud	0		A	sg n	0.0	0
kadunud	kaduma	nud		V	nud	0.5217	12
kadunud	kadunud	0		A		0.4783	11
kadunud	kadunud	d		A	pl n	0.0	0
kadunud	kadunud	0		A	sg n	0.0	0
veendunud	veenduma	nud		V	nud	0.6087	14
veendunud	veendunud	0		A		0.3913	9
veendunud	veendunud	d		A	pl n	0.0	0
veendunud	veendunud	0		A	sg n	0.0	0
suutnud	suutma	nud		V	nud	1.0	23
suutnud	suutnud	d		A	pl n	0.0	0
suutnud	suutnud	0		A		0.0	0
suutnud	suutnud	0		A	sg n	0.0	0
näidanud	näitama	nud		V	nud	1.0	22
näidanud	näidanud	0		A	sg n	0.0	0
näidanud	näidanud	0		A		0.0	0
näidanud	näidanud	d		A	pl n	0.0	0
levinud	levinud	0		A		0.5	11
levinud	levima	nud		V	nud	0.4091	9
levinud	levinud	0		A	sg n	0.0909	2
levinud	levinud	d		A	pl n	0.0	0
nõukogude	Nõukogu	de		H	pl g	1.0	22
nõukogude	Nõukogude	0		H	sg g	0.0	0
surnud	surnud	0		A		0.7727	17
surnud	surema	nud		V	nud	0.2273	5
surnud	surnud	d		A	pl n	0.0	0
surnud	surnud	0		A	sg n	0.0	0
ühele	üks	le		P	sg all	0.6818	15
ühele	üks	le		N	sg all	0.3182	7
otsekui	otsekui	0		J		0.9545	21
otsekui	otsekui	0		D		0.0455	1
koostatud	koostatud	0		A		1.0	21
koostatud	koostatud	d		A	pl n	0.0	0
koostatud	koostama	tud		V	tud	0.0	0
koostatud	koostatud	0		A	sg n	0.0	0
kaetud	kaetud	0		A		0.5238	11
kaetud	katma	tud		V	tud	0.381	8
kaetud	kaema	tud		V	tud	0.0952	2
kaetud	kaetud	0		A	sg n	0.0	0
kaetud	kaetud	d		A	pl n	0.0	0
nähtud	nägema	tud		V	tud	0.6667	14
nähtud	nähtud	0		A		0.3333	7
nähtud	nähtuma	d		V	d	0.0	0
nähtud	nähtud	d		A	pl n	0.0	0
nähtud	nähtud	0		A	sg n	0.0	0
peetud	peetud	0		A		0.619	13
peetud	pidama	tud		V	tud	0.381	8
peetud	peetud	0		A	sg n	0.0	0
peetud	peetud	d		A	pl n	0.0	0
peetud	peetuma	d		V	d	0.0	0
kasutatud	kasutama	tud		V	tud	0.5714	12
kasutatud	kasutatud	0		A		0.4286	9
kasutatud	kasutatud	0		A	sg n	0.0	0
kasutatud	kasutatud	d		A	pl n	0.0	0
sattunud	sattuma	nud		V	nud	0.65	13
sattunud	sattunud	0		A		0.35	7
sattunud	sattunud	0		A	sg n	0.0	0
sattunud	sattunud	d		A	pl n	0.0	0
töötanud	töötama	nud		V	nud	0.7895	15
töötanud	töötanud	0		A		0.2105	4
töötanud	töötanud	0		A	sg n	0.0	0
töötanud	töötanud	d		A	pl n	0.0	0
huvitatud	huvitama	tud		V	tud	0.5789	11
huvitatud	huvitatud	0		A		0.3684	7
huvitatud	huvitatud	d		A	pl n	0.0526	1
huvitatud	huvitatud	0		A	sg n	0.0	0
kohal	koht	l		S	sg ad	1.0	19
kohal	koha	l		S	sg ad	0.0	0
talvel	talv	l		S	sg ad	1.0	19
talvel	tali	l		S	sg ad	0.0	0
pandud	panema	dud		V	tud	0.5789	11
pandud	pandud	0		A		0.4211	8
pandud	pandud	0		A	sg n	0.0	0
pandud	pandud	d		A	pl n	0.0	0
keelatud	keelama	tud		V	tud	0.6316	12
keelatud	keelatud	0		A		0.3684	7
keelatud	keelatud	0		A	sg n	0.0	0
keelatud	keelatud	d		A	pl n	0.0	0
uuritud	uurima	tud		V	tud	0.7895	15
uuritud	uuritud	0		A		0.2105	4
uuritud	uuritud	0		A	sg n	0.0	0
uuritud	uuritud	d		A	pl n	0.0	0
kellest	kes	st		P	pl el	0.6316	12
kellest	kes	st		P	sg el	0.3684	7
juhtunud	juhtuma	nud		V	nud	0.8889	16
juhtunud	juhtunud	0		A		0.1111	2
juhtunud	juhtunud	d		A	pl n	0.0	0
juhtunud	juhtunud	0		A	sg n	0.0	0
korraldatud	korraldatud	0		A		0.5556	10
korraldatud	korraldama	tud		V	tud	0.3889	7
korraldatud	korraldatud	0		A	sg n	0.0556	1
korraldatud	korraldatud	d		A	pl n	0.0	0
kirjutatud	kirjutama	tud		V	tud	0.6111	11
kirjutatud	kirjutatud	0		A		0.3889	7
kirjutatud	kirjutatud	0		A	sg n	0.0	0
kirjutatud	kirjutatud	d		A	pl n	0.0	0
maailmapank	Maailmapank	0		H	sg n	1.0	18
kevadel	kevad	l		S	sg ad	1.0	18
kevadel	kevade	l		S	sg ad	0.0	0
elanud	elama	nud		V	nud	0.6667	12
elanud	elanud	0		A		0.3333	6
elanud	elanud	d		A	pl n	0.0	0
elanud	elanud	0		A	sg n	0.0	0
kestnud	kestnud	0		A		0.6667	12
kestnud	kestma	nud		V	nud	0.3333	6
kestnud	kestnud	d		A	pl n	0.0	0
kestnud	kestnud	0		A	sg n	0.0	0
kujunenud	kujunema	nud		V	nud	0.6111	11
kujunenud	kujunenud	0		A		0.3889	7
kujunenud	kujunenud	0		A	sg n	0.0	0
kujunenud	kujunenud	d		A	pl n	0.0	0
kuulnud	kuulma	nud		V	nud	1.0	18
kuulnud	kuulnud	0		A		0.0	0
kuulnud	kuulnud	0		A	sg n	0.0	0
kuulnud	kuulnud	d		A	pl n	0.0	0
arvatud	arvama	tud		V	tud	0.7647	13
arvatud	arvatud	0		A		0.2353	4
arvatud	arvatud	0		A	sg n	0.0	0
arvatud	arvatud	d		A	pl n	0.0	0
õppejõud	õppejõud	0		S	sg n	0.8235	14
õppejõud	õppejõud	d		S	pl n	0.1765	3
sunnitud	sundima	tud		V	tud	0.7647	13
sunnitud	sunnitud	0		A		0.2353	4
sunnitud	sunnitud	0		A	sg n	0.0	0
sunnitud	sunnitud	d		A	pl n	0.0	0
alanud	alanud	0		A		0.6875	11
alanud	algama	nud		V	nud	0.3125	5
alanud	alanud	d		A	pl n	0.0	0
alanud	alanud	0		A	sg n	0.0	0
harjunud	harjuma	nud		V	nud	0.875	14
harjunud	harjunud	0		A		0.125	2
harjunud	harjunud	d		A	pl n	0.0	0
harjunud	harjunud	0		A	sg n	0.0	0
toime	toime	0		S	adt	0.9375	15
toime	toime	0		S	sg g	0.0625	1
toime	toim	0		S	adt	0.0	0
toime	toim	0		S	sg g	0.0	0
piiratud	piiratud	0		A		0.875	14
piiratud	piirama	tud		V	tud	0.125	2
piiratud	piiratud	d		A	pl n	0.0	0
piiratud	piiratud	0		A	sg n	0.0	0
määratud	määratud	0		A		0.5625	9
määratud	määrama	tud		V	tud	0.4375	7
määratud	määratud	0		A	sg n	0.0	0
määratud	määratu	d		A	pl n	0.0	0
määratud	määratud	d		A	pl n	0.0	0
väikeste	väike	te		A	pl g	1.0	16
väikeste	väikene	te		A	pl g	0.0	0
lõppenud	lõppenud	0		A		0.5	8
lõppenud	lõppema	nud		V	nud	0.5	8
lõppenud	lõppenud	0		A	sg n	0.0	0
lõppenud	lõppenud	d		A	pl n	0.0	0
ehitatud	ehitama	tud		V	tud	0.75	12
ehitatud	ehitatud	0		A		0.25	4
ehitatud	ehitatud	d		A	pl n	0.0	0
ehitatud	ehitatud	0		A	sg n	0.0	0
kukkunud	kukkuma	nud		V	nud	0.5	8
kukkunud	kukkunud	0		A		0.5	8
kukkunud	kukkunud	d		A	pl n	0.0	0
kukkunud	kukkunud	0		A	sg n	0.0	0
postimees	Postimees	0		H	sg n	1.0	16
registreeritud	registreerima	tud		V	tud	0.5625	9
registreeritud	registreeritud	0		A		0.4375	7
registreeritud	registreeritud	0		A	sg n	0.0	0
registreeritud	registreeritud	d		A	pl n	0.0	0
varustatud	varustama	tud		V	tud	0.5625	9
varustatud	varustatud	0		A		0.4375	7
varustatud	varustatud	0		A	sg n	0.0	0
varustatud	varustatud	d		A	pl n	0.0	0
soovitud	soovitud	0		A		0.9375	15
soovitud	soovima	tud		V	tud	0.0625	1
soovitud	soovitud	0		A	sg n	0.0	0
soovitud	soovitud	d		A	pl n	0.0	0
kohad	koht	d		S	pl n	1.0	16
kohad	koha	d		S	pl n	0.0	0
püüdnud	püüdma	nud		V	nud	1.0	16
püüdnud	püüdnud	0		A		0.0	0
püüdnud	püüdnud	d		A	pl n	0.0	0
püüdnud	püüdnud	0		A	sg n	0.0	0
ühtki	üks	0	ki	P	sg p	0.5625	9
ühtki	üks	0	ki	N	sg p	0.4375	7
briti	Briti	0		H	sg g	1.0	16
briti	Britt	0		H	sg g	0.0	0
briti	Brit	0		H	sg g	0.0	0
öelnud	ütlema	nud		V	nud	1.0	15
öelnud	öelnud	d		A	pl n	0.0	0
öelnud	öelnud	0		A		0.0	0
öelnud	öelnud	0		A	sg n	0.0	0
kaotanud	kaotama	nud		V	nud	0.7333	11
kaotanud	kaotanud	0		A		0.2667	4
kaotanud	kaotanud	d		A	pl n	0.0	0
kaotanud	kaotanud	0		A	sg n	0.0	0
kogutud	kogutud	0		A		0.8	12
kogutud	koguma	tud		V	tud	0.2	3
kogutud	kogutud	d		A	pl n	0.0	0
kogutud	kogutud	0		A	sg n	0.0	0
viidud	viidud	0		A		0.5333	8
viidud	viima	dud		V	tud	0.4667	7
viidud	viidud	d		A	pl n	0.0	0
viidud	viidud	0		A	sg n	0.0	0
orienteeritud	orienteeritud	0		A		0.8	12
orienteeritud	orienteerima	tud		V	tud	0.2	3
orienteeritud	orienteeritud	d		A	pl n	0.0	0
orienteeritud	orienteeritud	0		A	sg n	0.0	0
varade	vara	de		S	pl g	1.0	15
varade	varad	de		S	pl g	0.0	0
teisele	teine	le		P	sg all	0.9286	13
teisele	teine	le		O	sg all	0.0714	1
postimehele	Postimees	le		H	sg all	1.0	14
postimehele	Postimehe	le		H	sg all	0.0	0
lubanud	lubama	nud		V	nud	0.8571	12
lubanud	lubanud	0		A		0.1429	2
lubanud	lubanud	0		A	sg n	0.0	0
lubanud	lubanud	d		A	pl n	0.0	0
hõivatud	hõivatud	0		A		0.5714	8
hõivatud	hõivama	tud		V	tud	0.4286	6
hõivatud	hõivatud	d		A	pl n	0.0	0
hõivatud	hõivatud	0		A	sg n	0.0	0
lubatud	lubatud	0		A		0.5714	8
lubatud	lubama	tud		V	tud	0.3571	5
lubatud	lubatud	0		A	sg n	0.0714	1
lubatud	lubatud	d		A	pl n	0.0	0
lubatud	lubatu	d		A	pl n	0.0	0
teiselt	teine	lt		P	sg abl	0.9286	13
teiselt	teine	lt		O	sg abl	0.0714	1
jätnud	jätma	nud		V	nud	0.8571	12
jätnud	jätnud	0		A		0.1429	2
jätnud	jätnud	d		A	pl n	0.0	0
jätnud	jätnud	0		A	sg n	0.0	0
teistel	teine	tel		P	pl ad	1.0	14
teistel	teine	tel		O	pl ad	0.0	0
tahtnud	tahtma	nud		V	nud	1.0	14
tahtnud	tahtnud	d		A	pl n	0.0	0
tahtnud	tahtnud	0		A	sg n	0.0	0
tahtnud	tahtnud	0		A		0.0	0
teisest	teine	st		P	sg el	0.7857	11
teisest	teine	st		O	sg el	0.2143	3
rikastatud	rikastatud	0		A		0.9286	13
rikastatud	rikastama	tud		V	tud	0.0714	1
rikastatud	rikastatud	d		A	pl n	0.0	0
rikastatud	rikastatud	0		A	sg n	0.0	0
hinnatud	hindama	tud		V	tud	0.7143	10
hinnatud	hinnatud	0		A		0.2857	4
hinnatud	hinnatud	d		A	pl n	0.0	0
hinnatud	hinnatud	0		A	sg n	0.0	0
jõud	jõud	0		S	sg n	0.6429	9
jõud	jõud	d		S	pl n	0.3571	5
lisatud	lisama	tud		V	tud	0.5714	8
lisatud	lisatud	0		A		0.4286	6
lisatud	lisatud	0		A	sg n	0.0	0
lisatud	lisatud	d		A	pl n	0.0	0
juhitud	juhitud	0		A		0.7857	11
juhitud	juhtima	tud		V	tud	0.2143	3
juhitud	juhitud	d		A	pl n	0.0	0
juhitud	juhitud	0		A	sg n	0.0	0
ostujõud	ostujõud	0		S	sg n	0.7143	10
ostujõud	ostujõud	d		S	pl n	0.2857	4
eraldatud	eraldatud	0		A		0.6429	9
eraldatud	eraldama	tud		V	tud	0.2857	4
eraldatud	eraldatud	0		A	sg n	0.0714	1
eraldatud	eraldatud	d		A	pl n	0.0	0
investeerinud	investeerima	nud		V	nud	1.0	13
investeerinud	investeerinud	d		A	pl n	0.0	0
investeerinud	investeerinud	0		A		0.0	0
investeerinud	investeerinud	0		A	sg n	0.0	0
lõpeb	lõppema	b		V	b	1.0	13
lõpeb	lõpma	b		V	b	0.0	0
säilinud	säilima	nud		V	nud	0.5385	7
säilinud	säilinud	0		A		0.4615	6
säilinud	säilinud	d		A	pl n	0.0	0
säilinud	säilinud	0		A	sg n	0.0	0
õnnestunud	õnnestuma	nud		V	nud	0.8462	11
õnnestunud	õnnestunud	0		A		0.1538	2
õnnestunud	õnnestunud	d		A	pl n	0.0	0
õnnestunud	õnnestunud	0		A	sg n	0.0	0
astunud	astuma	nud		V	nud	0.6923	9
astunud	astunud	0		A		0.3077	4
astunud	astunud	0		A	sg n	0.0	0
astunud	astunud	d		A	pl n	0.0	0
töötatud	töötatud	0		A		0.6154	8
töötatud	töötama	tud		V	tud	0.3846	5
töötatud	töötatud	d		A	pl n	0.0	0
töötatud	töötatud	0		A	sg n	0.0	0
tunnustatud	tunnustatud	0		A		0.7692	10
tunnustatud	tunnustama	tud		V	tud	0.2308	3
tunnustatud	tunnustatud	d		A	pl n	0.0	0
tunnustatud	tunnustatud	0		A	sg n	0.0	0
teenitud	teenitud	0		A		0.9231	12
teenitud	teenima	tud		V	tud	0.0769	1
teenitud	teenitud	d		A	pl n	0.0	0
teenitud	teenitud	0		A	sg n	0.0	0
sõitnud	sõitma	nud		V	nud	0.5385	7
sõitnud	sõitnud	0		A		0.4615	6
sõitnud	sõitnud	0		A	sg n	0.0	0
